DustTrakTime,DustTrakConc
2013-07-11 21:57:20,0.000
2013-07-11 21:57:25,0.000
2013-07-11 21:57:30,0.000
2013-07-11 21:57:35,0.000
2013-07-11 21:57:40,0.000
2013-07-11 21:57:45,0.000
2013-07-11 21:57:50,0.000
2013-07-11 21:57:55,0.000
2013-07-11 21:58:00,0.000
2013-07-11 21:58:05,0.000
2013-07-11 21:58:10,0.000
2013-07-11 21:58:15,0.000
2013-07-11 21:58:20,0.000
2013-07-11 21:58:25,0.000
2013-07-11 21:58:30,0.000
2013-07-11 21:58:35,0.000
2013-07-11 21:58:40,0.000
2013-07-11 21:58:45,0.000
2013-07-11 21:58:50,0.000
2013-07-11 21:58:55,0.000
2013-07-11 21:59:00,0.000
2013-07-11 21:59:05,0.000
2013-07-11 21:59:10,0.000
2013-07-11 21:59:15,0.004
2013-07-11 21:59:20,0.004
2013-07-11 21:59:25,0.004
2013-07-11 21:59:30,0.004
2013-07-11 21:59:35,0.004
2013-07-11 21:59:40,0.004
2013-07-11 21:59:45,0.004
2013-07-11 21:59:50,0.004
2013-07-11 21:59:55,0.004
2013-07-11 22:00:00,0.004
2013-07-11 22:00:05,0.004
2013-07-11 22:00:10,0.004
2013-07-11 22:00:15,0.004
2013-07-11 22:00:20,0.004
2013-07-11 22:00:25,0.004
2013-07-11 22:00:30,0.004
2013-07-11 22:00:35,0.004
2013-07-11 22:00:40,0.004
2013-07-11 22:00:45,0.004
2013-07-11 22:00:50,0.004
2013-07-11 22:00:55,0.004
2013-07-11 22:01:00,0.004
2013-07-11 22:01:05,0.004
2013-07-11 22:01:10,0.004
2013-07-11 22:01:15,0.004
2013-07-11 22:01:20,0.004
2013-07-11 22:01:25,0.004
2013-07-11 22:01:30,0.004
2013-07-11 22:01:35,0.004
2013-07-11 22:01:40,0.004
2013-07-11 22:01:45,0.004
2013-07-11 22:01:50,0.004
2013-07-11 22:01:55,0.004
2013-07-11 22:02:00,0.004
2013-07-11 22:02:05,0.004
2013-07-11 22:02:10,0.004
2013-07-11 22:02:15,0.004
2013-07-11 22:02:20,0.004
2013-07-11 22:02:25,0.004
2013-07-11 22:02:30,0.004
2013-07-11 22:02:35,0.004
2013-07-11 22:02:40,0.004
2013-07-11 22:02:45,0.004
2013-07-11 22:02:50,0.004
2013-07-11 22:02:55,0.004
2013-07-11 22:03:00,0.004
2013-07-11 22:03:05,0.004
2013-07-11 22:03:10,0.004
2013-07-11 22:03:15,0.003
2013-07-11 22:03:20,0.003
2013-07-11 22:03:25,0.003
2013-07-11 22:03:30,0.003
2013-07-11 22:03:35,0.003
2013-07-11 22:03:40,0.003
2013-07-11 22:03:45,0.003
2013-07-11 22:03:50,0.003
2013-07-11 22:03:55,0.003
2013-07-11 22:04:00,0.003
2013-07-11 22:04:05,0.003
2013-07-11 22:04:10,0.003
2013-07-11 22:04:15,0.003
2013-07-11 22:04:20,0.003
