Instr,Time,MetOne03,MetOne05,MetOne07,MetOne1,MetOne2,MetOne5
MetOne, 2013-07-11 19:45:40,35132,7151,3725,2416,1131,70
MetOne, 2013-07-11 19:46:40,31052,6379,3264,2104,1004,50
MetOne, 2013-07-11 19:47:40,31339,6354,3243,2067,948,45
MetOne, 2013-07-11 19:48:40,30857,6214,3158,2007,968,55
MetOne, 2013-07-11 19:49:40,28971,6211,3324,2209,1107,89
MetOne, 2013-07-11 19:50:40,27652,6292,3501,2351,1208,105
MetOne, 2013-07-11 19:51:40,27134,6612,3849,2711,1481,135
MetOne, 2013-07-11 19:52:40,27068,6416,3608,2535,1369,128
MetOne, 2013-07-11 19:53:40,23823,5878,3434,2438,1321,129
MetOne, 2013-07-11 19:54:40,23936,6198,3735,2659,1510,184
MetOne, 2013-07-11 19:55:40,23527,6008,3676,2636,1525,197
MetOne, 2013-07-11 19:56:40,22107,5711,3448,2472,1394,194
MetOne, 2013-07-11 19:57:40,20344,5042,3046,2196,1242,158
