'<module 'time' (built-in)>,-4.026e-06  7.084e-04 1003 296 99 00'
'<module 'time' (built-in)>,-4.026e-06  7.084e-04 1003 296 99 00'
'<module 'time' (built-in)>,-4.028e-06  7.084e-04 1003 296 99 00'
'<module 'time' (built-in)>,-4.031e-06  7.084e-04 1003 296 99 00'
'<module 'time' (built-in)>,-4.035e-06  7.084e-04 1003 296 99 00'
'<module 'time' (built-in)>,-4.039e-06  7.084e-04 1003 296 99 00'
'<module 'time' (built-in)>,-4.042e-06  7.084e-04 1003 296 99 00'
'<module 'time' (built-in)>,-4.046e-06  7.084e-04 1003 296 99 00'
'<module 'time' (built-in)>,-4.049e-06  7.084e-04 1003 296 99 00'
'<module 'time' (built-in)>,-4.052e-06  7.084e-04 1003 296 99 00'
'<module 'time' (built-in)>,-4.056e-06  7.084e-04 1003 296 99 00'
'<module 'time' (built-in)>,-4.059e-06  7.084e-04 1003 296 99 00'
'<module 'time' (built-in)>,-4.063e-06  7.084e-04 1003 296 99 00'
'<module 'time' (built-in)>,-4.068e-06  7.084e-04 1003 296 99 00'
'<module 'time' (built-in)>,-4.074e-06  7.084e-04 1003 296 99 00'
'<module 'time' (built-in)>,-4.078e-06  7.084e-04 1003 296 99 00'
'<module 'time' (built-in)>,-4.081e-06  7.084e-04 1003 296 99 00'
'<module 'time' (built-in)>,-4.084e-06  7.084e-04 1003 296 99 00'
